Nyla; Major Lazer Essentials
Juice WRLD; Goodbye & Good Riddance
A$AP Rocky; Red Pill Blues (Deluxe)
Vybz Kartel; Major Lazer Essentials
Bruno Mars; Doo-Wops & Hooligans
Sam Smith; In The Lonely Hour
Marshmello; Wolves
Tory Lanez; Beach House 3
Drake; The Pinkprint (Deluxe)
Camila Cabello; Major Lazer Essentials
Lil Yachty; Heartbreak on a Full Moon
Kent Jones; DNCE
Amber Coffman; Major Lazer Essentials
Dreezy; No Hard Feelings
Jax Jones; Ring Ring
Future; Ciara
USHER; Heartbreak on a Full Moon
Britney Spears; Glory (Deluxe Version)
Young Scooter; JEFFERY
Little Mix; Get Weird (Deluxe)
Justin Bieber; Kiss
Olly Murs; 24 HRS (Deluxe)
Robin Schulz; Prayer in C
2 Chainz; Culture II
YG; Invasion of Privacy
Anitta; Major Lazer Essentials
Nicki Minaj; Culture II
Kendrick Lamar; Red Pill Blues (Deluxe)
Lady Gaga; A Star Is Born Soundtrack (Without Dialogue)
WATCH THE DUCK; The New Classic
Jessie Ware; The Pinkprint (Deluxe)
Meek Mill; The Pinkprint (Deluxe)
Post Malone; Stoney (Deluxe)
AronChupa; Me 4 U
Bryson Tiller; T R A P S O U L
Bryn Christopher; Brighter Days
Marshmello; Sing Me to Sleep
Zedd; HAIZ
Carly Rae Jepsen; Kiss
2 Chainz; Nothing Was The Same (Deluxe)
Busy Signal; Me 4 U
Childish Gambino; Sail Out
Rich Homie Quan; No Label II
LOLO; Too Weird to Live, Too Rare to Die!
Mavado; The New Classic
Cardi B; Culture II
Quavo; Grateful
Skrillex; Beach House 3
Chance the Rapper; Grateful
DLOW; This Is A Challenge
Chronixx; ALL-AMERIKKKAN BADA$$
Gunna; Beautiful Thugger Girls
Belly; Grateful
Delaney Jane; Brighter Days
Lady Gaga; ARTPOP
Sean Paul; Major Lazer Essentials
Mavado; Grateful
Ryan Lewis; The Heist
Offset; JEFFERY
Eighty4 Fly; The Heist
HoodRich Pablo Juan; Harder Than Ever
Gunna; Harder Than Ever
Panic! At The Disco; Too Weird to Live, Too Rare to Die!
Rita Ora; Let You Love Me
