Daria ze Śląska,22400,['polish alternative']
Kortez,498782,['polish pop']
Nosowska,134224,"['polish alternative', 'polish blues', 'polish pop']"
Błażej Król,45790,"['polish alternative', 'polish indie']"
Mikromusic,101864,['polish alternative']
Bovska,73188,"['polish alternative', 'polish pop']"
Marcelina,16065,"['polish alternative', 'polish indie']"
Bela Komoszyńska,2120,[]
Brodka,237576,"['crank wave', 'polish indie', 'polish pop']"
Jann,195343,[]
Urbanski,6226,['polish electronica']
PIETRUCHA/ZALEWSKA,1255,[]
Kwiat Jabłoni,453183,"['polish alternative', 'polish pop']"
Julia Pietrucha,73893,['polish alternative']
Marta Zalewska,911,[]
Natalia Szroeder,168588,['polish pop']
Mela Koteluk,88157,"['poezja spiewana', 'polish alternative']"
DOBRY,717,[]
Kuba Galiński,186,[]
Piotr Fronczewski,8594,['bajki']
Anita Lipnicka,58851,"['classic polish pop', 'polish pop']"
Paweł Domagała,275303,['polish pop']
Kleks,89367,"['polish pop', 'polish viral pop']"
Sobel,1250738,"['polish hip hop', 'polish trap']"
sanah,2881017,['polish pop']
Roxie,93555,"['polish pop', 'polish viral pop']"
Mata,2071000,"['polish hip hop', 'polish trap']"
Maryla Rodowicz,102430,"['classic polish pop', 'polish pop', 'sung poetry']"
Julia Żugaj,175827,['polish viral pop']
Andrzej Piaseczny,81779,['polish pop']
Daria Zawiałow,628325,"['polish indie', 'polish pop']"
Dawid Podsiadło,2219112,"['polish pop', 'talent show']"
Kacperczyk,138486,['polish hip hop']
Julia Wieniawa,85912,['polish pop']
francis,26237,['polish hip hop']
Deemz,179808,"['polish hip hop', 'polish trap']"
Gibbs,616744,['polish hip hop']
Opał,116174,['polish hip hop']
Jonatan,37120,['polish hip hop']
EMO,41776,[]
Oki,988341,['polish hip hop']
@atutowy,30977,['polish hip hop']
White 2115,1360716,"['polish hip hop', 'polish trap']"
Eryk Moczko,45485,['polish viral pop']
MIÜ,39220,['polish viral pop']
Bedoes 2115,1594860,"['polish hip hop', 'polish trap']"
Lanberry,162492,['polish pop']
Tribbs,166439,"['polish pop', 'polish viral pop']"
Vito Bambino,208405,"['polish alternative', 'polish pop']"
Taco Hemingway,1657059,"['polish hip hop', 'polish trap']"
bambi,442271,"['polish hip hop', 'polish viral pop']"
Kizo,1398440,"['polish hip hop', 'polish trap']"
Young Leosia,541288,"['polish hip hop', 'polish pop']"
Waima,86592,['polish hip hop']
PRO8L3M,874647,['polish hip hop']
FUJU,841,[]
Def Jam World Tour,4743,['polish underground rap']
Smolasty,789492,"['polish hip hop', 'polish pop', 'polish trap']"
Francis,24,[]
Pedro,24278,['polish hip hop']
Sylwia Grzeszczak,541327,['polish pop']
Lanberry,162492,['polish pop']
Marta Bijan,12449,['polish pop']
Maryla Rodowicz,102430,"['classic polish pop', 'polish pop', 'sung poetry']"
Dawid Kwiatkowski,404056,['polish pop']
Sentino,217487,"['polish hip hop', 'polish viral rap']"
Viki Gabor,175860,"['polish pop', 'polish viral pop']"
Trueman,1427,[]
typo g,4403,['polish viral pop']
Tykezbeats,8,[]
prod. adi,864,[]
Oskar Cyms,61572,['polish pop']
Patrycja Markowska,103074,['polish pop']
Mela Koteluk,88157,"['poezja spiewana', 'polish alternative']"
Anastazja Maciąg,4371,['polish pop']
Roxie,93555,"['polish pop', 'polish viral pop']"
Natalia Szroeder,168588,['polish pop']
BARANOVSKI,138599,['polish pop']
WERSOW,236167,"['polish pop', 'polish viral pop']"
Mrozu,281741,['polish pop']
Deemz,179808,"['polish hip hop', 'polish trap']"
bambi,442271,"['polish hip hop', 'polish viral pop']"
Kizo,1398440,"['polish hip hop', 'polish trap']"
Young Leosia,541288,"['polish hip hop', 'polish pop']"
Waima,86592,['polish hip hop']
Smolasty,789492,"['polish hip hop', 'polish pop', 'polish trap']"
Doda,177841,['polish pop']
Filip Leon,1379,[]
WIKTOR,2465,[]
Tribbs,166439,"['polish pop', 'polish viral pop']"
Blu,1903,[]
Questy,14903,['smutny rap']
Gibbs,616744,['polish hip hop']
Jonatan,37120,['polish hip hop']
4Money,9674,['polish hip hop']
Wilhelm,1792,[]
Sarius,338462,['polish hip hop']
WOLF HOUSE,394,[]
Paulina Chmura,151,[]
Grzegorz Ziola,66,[]
Jamal,58476,"['polish hip hop', 'polish reggae']"
Pawbeats,22408,['polish indie']
Pola Rise,5732,"['polish alternative', 'polish indie']"
Ewelina Lisowska,69923,['polish pop']
Dominika Kwiatkowska,497,[]
Vixen,46877,['smutny rap']
Tabb,3713,['polish pop']
Pat Nos,155,[]
Jakub Ścisło,12,[]
Afromental,44720,"['polish pop', 'polish reggae']"
Patryk Skoczyński,1018,[]
Ikarus Feel,900,[]
Barnim,743,[]
Gverilla,6885,['polish alternative rap']
Jakub Laszuk,3053,[]
Janek Traczyk,3797,[]
