Pamięć do złych słów,49
Można,44
Jestem rzeką,39
List (Rojst Millenium | Netflix),38
Lekkość,39
Zwierzęta nocy,35
Powiedz mi jak?,46
Północ,45
Nic za złe,38
Wynalazek Filipa Golarza,67
Falochrony,67
Damą być,49
Piosenka o końcu świata,42
Za krótki sen,46
Sebiksy,56
Lato 2023,39
Wanna,40
Dalej,37
KOCHASZ?,71
Mood,53
"Biegać, skakać (feat. Nosowska)",36
ILE LAT?,56
1 na 100,62
NAPALONE FANKI,57
"Dzięki, że jesteś",60
Ale jazz!,54
SUPRO,44
LECĘ BO CHCĘ,59
Na ostatnią chwilę,66
CZEMU NIE ŚPISZ?,69
MADONNA,65
Duże Oczy,48
och i ach,62
Cyrk,52
Parę chwil,43
Wielka woda,50
CO Z NAMI BĘDZIE?,48
Latawce,59
Dom,49
Miłość Wiara Nadzieja,28
Himalaje,47
Nieładnie,40
Nie czekam,40
Zwierzęta nocy,35
Damą być,49
Nie musisz się bać,57
Za rękę,50
Naturalnie,31
Momenty,50
Upał,30
Co ja robię tu,51
Sing-Sing,43
Cały czas,57
LECĘ BO CHCĘ,59
Nie ma Cię tu,37
Rakieta,21
Motyle,59
Nim Zajdzie Słońce,58
"Dzięki, że jesteś",60
Umówieni od lat,32
Jestem stąd,26
Sierpień,33
Moment,41
Stan,56
Ściany,39
Gadać albo milczeć,28
Odpowiedź,51
Ratuj się kto może,42
Bibi,17
Jak obrócić się w pył?,38
Patrz,36
Jak to jest?,40
Jak dobrze żyć?,36
Połowa Mnie,54
Niebezpieczni,32
Presja,29
Ty się nie bój,32
Beze mnie,45
Ucieszenia,27
Story of My Life,43
ZŁOTA NIĆ,9
Kwiaty wiśni,14
Stawiam na najgorsze,11
Deja vu,20
Nie zawsze wszystko,10
Los,17
IDEALNY,22
Dalej,31
Fejk,23
+1,6
Sama na planecie,25
Czekam na jutro,12
Własne prawdy,6
Północ,27
Kim jesteśmy,5
Nie Mów Że Kochasz,34
Harmonia,27
Café de Paris,42
Pijemy Za Lepszy Czas,50
Lubię być z nią,45
JESIENIARA,24
BLISKO,20
Efekt 94 BPM,10
Telefon,17
Madam,4
Lepiej jest mi bez,17
Kontakt,8
Nie tak miało być - Radio Edit,3
Zegar,10
Chlaj kochana chlaj,37
Anhedonia,20
Kołysz mnie,9
Na śniadanie...ciasto?,2
Nie chcę zapomnieć,11
Syndrom Sztokholmski,10
Supernowa,13
LWK,13
Od niekochania,18
BezCzas (feat. Felicjan Andrzejczak),6
apetyt na niepewność,10
SLAVIC GIRLZ,39
SZMINKA,22
Rdza,17
Róż,67
Ja po prostu chcę tańczyć,1
"było, minęło",64
Ty i Ja,31
Mona Lisy czar,6
"Tam słońce, gdzie my",64
tylko ŁEB (feat. Piotr Prońko),10
chcę Cię mieć,13
Kontrola,6
Sexoholik,59
California,22
GOMBAO 33,22
A nie pamiętasz jak?,9
Impreza,57
Floyd Mayweather,60
Polski Karnawał,48
Zgon przy porodzie,45
Grill u Gawrona,18
Worki W Tłum,54
Bandyta,53
Koła,43
Justin Bieber,43
Sonic Skit,56
SIRI,55
Pogo,0
JESTEM POJ384NY,16
BEDOESIARA,50
SIĘ WJEŻDŻA,54
Nie mam czasu na wakacje,50
I To Jest Fakt,51
club2020,50
La Manga,48
Księżniczki,54
Kiss cam (podryw roku),17
Robotniczy Trap,48
Do Tanca,42
Papuga,11
Whoop?,51
DLA ZIOMALI,46
Landlord,53
2001,10
Small Town Boy,47
Porobiona mefedronem (speed up),0
Jesteś ładniejsza niż na zdjęciach (na zawsze),11
Brzydkie Rzeczy,15
ZACZAROWANY BURDEL,49
:(,7
Niedostępny (prod. by Olek) (feat. DMN),47
Nadchodzi lato,15
RiRi,13
5 INFLUENCEREK,51
Lesbijki,12
05:05,18
SPRZEDAŁEM SIĘ,49
Mogę Dziś Umierać,16
Jeżyk!,57
Hop,39
martin shkreli freestyle,50
Pieniądze i sława,8
MŁODY PADEREWSKI,12
cirque du soleil,43
Bungee,14
3 w nocy w Międzyzdrojach,10
Kryształowa kula,4
Buch na dwóch,4
1998 (mam to we krwi),19
Wschód (lubię zapierdalać),18
TURYSTA,51
KETCHUP,53
VOGUE,16
Mata Montana,8
SKUTE BOBO,9
DRESSCODE,56
Sidehoe,38
JESTEŚ POJ384NA,3
Łzy (pierwszy kawałek na tej płycie),11
PŁYTA NIE SIADA,3
JEREMY SOCHAN,53
Nametag,55
Sam,56
Deszcz Banknotów,51
Shoty,45
Biblioteka Trap,9
21 gramów,49
Kariera,49
KARATE KID,36
NIE MA CIĘ,20
Porsche,44
ADHD,53
NARCO TRAFFICANTE,49
WIĘCEJ DYMU,45
OPIUM!,41
Jakbym Miał W Ręku Klamkę,57
New York Freestyle,45
WODA SODOWA,43
Doja Cat,60
"Pusty pokój, ale płyty diamentowe",49
NIEWOLNIK,53
MILLIE WALKY,63
AGENT47,60
Woda Księżycowa,28
Młody Manson,58
Prawie straciłem głos,62
Mroczna Komnata,26
nie chcę przestać się bawić,43
intro do płyty mojego życia,41
NIEBIESKI DOM,34
Legendarne Duo,58
Dopamina,41
Lloret de Mar,70
taki mały ja,66
Nemo,63
DresKot,45
PO CO?,66
hellstar,65
Choć nie widać na zewnątrz,59
CZEMU NIE ŚPISZ?,69
MADONNA,65
JOHNNY DANG,51
Zoë Kravitz,52
KUBI47,58
